s 97 | P(Si): 0.0003051758 | -log2(P(Si)): 11.6780719051 | Entropy: 0.0035638647  | Codeword: 10110001000 | CodeLength: 11 | AVG.Length: 0.0033569336 
s 98 | P(Si): 0.0002975464 | -log2(P(Si)): 11.7145977811 | Entropy: 0.0034856362  | Codeword: 10110000001 | CodeLength: 11 | AVG.Length: 0.0032730103 
s 99 | P(Si): 0.0002899170 | -log2(P(Si)): 11.7520724866 | Entropy: 0.0034071255  | Codeword: 00011111111 | CodeLength: 11 | AVG.Length: 0.0031890869 
s 100 | P(Si): 0.0002746582 | -log2(P(Si)): 11.8300749986 | Entropy: 0.0032492271  | Codeword: 00011111101 | CodeLength: 11 | AVG.Length: 0.0030212402 
s 101 | P(Si): 0.0002479553 | -log2(P(Si)): 11.9776321870 | Entropy: 0.0029699176  | Codeword: 00010000110 | CodeLength: 11 | AVG.Length: 0.0027275085 
s 102 | P(Si): 0.0002441406 | -log2(P(Si)): 12.0000000000 | Entropy: 0.0029296875  | Codeword: 00010000011 | CodeLength: 11 | AVG.Length: 0.0026855469 
s 103 | P(Si): 0.0002441406 | -log2(P(Si)): 12.0000000000 | Entropy: 0.0029296875  | Codeword: 00010000010 | CodeLength: 11 | AVG.Length: 0.0026855469 
s 104 | P(Si): 0.0002441406 | -log2(P(Si)): 12.0000000000 | Entropy: 0.0029296875  | Codeword: 00010000101 | CodeLength: 11 | AVG.Length: 0.0026855469 
s 105 | P(Si): 0.0002365112 | -log2(P(Si)): 12.0458036896 | Entropy: 0.0028489679  | Codeword: 00000011011 | CodeLength: 11 | AVG.Length: 0.0026016235 
s 106 | P(Si): 0.0002365112 | -log2(P(Si)): 12.0458036896 | Entropy: 0.0028489679  | Codeword: 00000011010 | CodeLength: 11 | AVG.Length: 0.0026016235 
s 107 | P(Si): 0.0002326965 | -log2(P(Si)): 12.0692626624 | Entropy: 0.0028084756  | Codeword: 00000011000 | CodeLength: 11 | AVG.Length: 0.0025596619 
s 108 | P(Si): 0.0002288818 | -log2(P(Si)): 12.0931094044 | Entropy: 0.0027678931  | Codeword: 00000010010 | CodeLength: 11 | AVG.Length: 0.0025177002 
s 109 | P(Si): 0.0002136230 | -log2(P(Si)): 12.1926450779 | Entropy: 0.0026046300  | Codeword: 10011101011 | CodeLength: 11 | AVG.Length: 0.0023498535 
s 110 | P(Si): 0.0002098083 | -log2(P(Si)): 12.2186402865 | Entropy: 0.0025635728  | Codeword: 10011101000 | CodeLength: 11 | AVG.Length: 0.0023078918 
s 111 | P(Si): 0.0002098083 | -log2(P(Si)): 12.2186402865 | Entropy: 0.0025635728  | Codeword: 10011100101 | CodeLength: 11 | AVG.Length: 0.0023078918 
s 112 | P(Si): 0.0002059937 | -log2(P(Si)): 12.2451124978 | Entropy: 0.0025224154  | Codeword: 10011100100 | CodeLength: 11 | AVG.Length: 0.0022659302 
s 113 | P(Si): 0.0001831055 | -log2(P(Si)): 12.4150374993 | Entropy: 0.0022732613  | Codeword: 01010110100 | CodeLength: 11 | AVG.Length: 0.0020141602 
s 114 | P(Si): 0.0001831055 | -log2(P(Si)): 12.4150374993 | Entropy: 0.0022732613  | Codeword: 00110111101 | CodeLength: 11 | AVG.Length: 0.0020141602 
s 115 | P(Si): 0.0001754761 | -log2(P(Si)): 12.4764380439 | Entropy: 0.0021893164  | Codeword: 00110111001 | CodeLength: 11 | AVG.Length: 0.0019302368 
s 116 | P(Si): 0.0001640320 | -log2(P(Si)): 12.5737352453 | Entropy: 0.0020624947  | Codeword: 101101001111 | CodeLength: 12 | AVG.Length: 0.0019683838 
s 117 | P(Si): 0.0001564026 | -log2(P(Si)): 12.6424479954 | Entropy: 0.0019773116  | Codeword: 101101001110 | CodeLength: 12 | AVG.Length: 0.0018768311 
s 118 | P(Si): 0.0001525879 | -log2(P(Si)): 12.6780719051 | Entropy: 0.0019345202  | Codeword: 101100010010 | CodeLength: 12 | AVG.Length: 0.0018310547 
s 119 | P(Si): 0.0001487732 | -log2(P(Si)): 12.7145977811 | Entropy: 0.0018915913  | Codeword: 101100000001 | CodeLength: 12 | AVG.Length: 0.0017852783 
s 120 | P(Si): 0.0001449585 | -log2(P(Si)): 12.7520724866 | Entropy: 0.0018485212  | Codeword: 101100000000 | CodeLength: 12 | AVG.Length: 0.0017395020 
s 121 | P(Si): 0.0001411438 | -log2(P(Si)): 12.7905466344 | Entropy: 0.0018053063  | Codeword: 000111111101 | CodeLength: 12 | AVG.Length: 0.0016937256 
s 122 | P(Si): 0.0001411438 | -log2(P(Si)): 12.7905466344 | Entropy: 0.0018053063  | Codeword: 000111111100 | CodeLength: 12 | AVG.Length: 0.0016937256 
s 123 | P(Si): 0.0001373291 | -log2(P(Si)): 12.8300749986 | Entropy: 0.0017619427  | Codeword: 000111111001 | CodeLength: 12 | AVG.Length: 0.0016479492 
